seqName,errors,warnings,failedGenes
"NC_045512.2:21563-25384 S [organism=Severe acute respiratory syndrome coronavirus 2] [GeneID=43740568] [chromosome=]","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF3a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF3a;ORF6;ORF7a;ORF8;ORF9b"
"34A|S10","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"1H|S118","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"8H|S119","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"248B|S12","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"42H|S122","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"17H|S126","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"1I|S127","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"31I|S128","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"8I|S129","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"24I|S130","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
